timestamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops
2022-06-27 08:53:07,SNA-PHX-06/30/2022-07/04/2022,SNA,PHX,06/30/2022,07/04/2022,250.00,06-30-2022 12:56:00,78,0,07-04-2022 17:42:00,78,0
2022-06-27 08:54:02,SNA-PHX-07/07/2022-07/11/2022,SNA,PHX,07/07/2022,07/11/2022,277.00,07-07-2022 13:11:00,79,0,07-11-2022 20:05:00,78,0
2022-06-27 08:54:56,SNA-PHX-07/14/2022-07/18/2022,SNA,PHX,07/14/2022,07/18/2022,250.00,07-14-2022 10:17:00,78,0,07-18-2022 17:42:00,78,0
2022-06-27 08:55:51,SNA-PHX-07/21/2022-07/25/2022,SNA,PHX,07/21/2022,07/25/2022,298.00,07-21-2022 16:44:00,84,0,07-25-2022 10:18:00,88,0
2022-06-27 08:56:46,SNA-PHX-07/28/2022-08/01/2022,SNA,PHX,07/28/2022,08/01/2022,298.00,07-28-2022 16:44:00,84,0,08-01-2022 10:18:00,88,0
2022-06-27 08:57:39,SNA-PHX-08/04/2022-08/08/2022,SNA,PHX,08/04/2022,08/08/2022,298.00,08-04-2022 13:06:00,79,0,08-08-2022 14:00:00,79,0
2022-06-27 08:58:34,SNA-PHX-08/11/2022-08/15/2022,SNA,PHX,08/11/2022,08/15/2022,274.00,08-11-2022 13:06:00,79,0,08-15-2022 14:00:00,79,0
2022-06-27 08:59:27,SNA-PHX-08/18/2022-08/22/2022,SNA,PHX,08/18/2022,08/22/2022,234.00,08-18-2022 12:42:00,76,0,08-22-2022 14:02:00,78,0
2022-06-27 09:00:21,SNA-PHX-08/25/2022-08/29/2022,SNA,PHX,08/25/2022,08/29/2022,234.00,08-25-2022 12:42:00,76,0,08-29-2022 14:02:00,78,0
2022-06-27 09:01:16,SNA-PHX-09/01/2022-09/05/2022,SNA,PHX,09/01/2022,09/05/2022,338.00,09-01-2022 12:42:00,76,0,09-05-2022 10:25:00,87,0
2022-06-27 09:02:12,SNA-PHX-09/08/2022-09/12/2022,SNA,PHX,09/08/2022,09/12/2022,258.00,09-08-2022 16:44:00,78,0,09-12-2022 14:02:00,78,0
2022-06-27 09:03:07,SNA-PHX-09/15/2022-09/19/2022,SNA,PHX,09/15/2022,09/19/2022,218.00,09-15-2022 12:19:00,87,0,09-19-2022 20:15:00,77,0
2022-06-27 09:04:02,SNA-PHX-09/22/2022-09/26/2022,SNA,PHX,09/22/2022,09/26/2022,238.00,09-22-2022 12:19:00,87,0,09-26-2022 14:02:00,78,0
2022-06-27 09:05:00,SNA-PHX-09/29/2022-10/03/2022,SNA,PHX,09/29/2022,10/03/2022,248.00,09-29-2022 12:19:00,87,0,10-03-2022 14:02:00,78,0
2022-06-27 09:05:56,SNA-PHX-10/06/2022-10/10/2022,SNA,PHX,10/06/2022,10/10/2022,318.00,10-06-2022 12:29:00,82,0,10-10-2022 10:16:00,83,0
2022-06-27 09:06:54,SNA-PHX-10/13/2022-10/17/2022,SNA,PHX,10/13/2022,10/17/2022,340.00,10-13-2022 12:29:00,82,0,10-17-2022 10:16:00,83,0
2022-06-27 09:07:49,SNA-PHX-10/20/2022-10/24/2022,SNA,PHX,10/20/2022,10/24/2022,278.00,10-20-2022 12:29:00,82,0,10-24-2022 16:45:00,81,0
2022-06-27 09:08:43,SNA-PHX-10/27/2022-10/31/2022,SNA,PHX,10/27/2022,10/31/2022,248.00,10-27-2022 12:29:00,82,0,10-31-2022 20:05:00,82,0
2022-06-27 09:09:37,SNA-PHX-11/03/2022-11/07/2022,SNA,PHX,11/03/2022,11/07/2022,278.00,11-03-2022 12:54:00,81,0,11-07-2022 08:20:00,83,0
2022-06-27 09:10:32,SNA-PHX-11/10/2022-11/14/2022,SNA,PHX,11/10/2022,11/14/2022,278.00,11-10-2022 12:54:00,81,0,11-14-2022 10:50:00,79,0
2022-06-27 09:11:26,SNA-PHX-11/17/2022-11/21/2022,SNA,PHX,11/17/2022,11/21/2022,448.00,11-17-2022 16:42:00,79,0,11-21-2022 10:50:00,79,0
2022-06-27 09:29:44,LAX-ORD-10/27/2022-10/31/2022,LAX,ORD,10/27/2022,10/31/2022,401.00,10-27-2022 08:00:00,243,0,10-31-2022 20:15:00,271,0
2022-06-27 09:30:45,LAX-ORD-11/03/2022-11/07/2022,LAX,ORD,11/03/2022,11/07/2022,472.00,11-03-2022 11:40:00,245,0,11-07-2022 11:45:00,264,0
2022-06-27 09:31:46,LAX-ORD-11/10/2022-11/14/2022,LAX,ORD,11/10/2022,11/14/2022,451.00,11-10-2022 08:10:00,350,1,11-14-2022 11:45:00,264,0
2022-06-27 09:32:58,LAX-ORD-11/17/2022-11/21/2022,LAX,ORD,11/17/2022,11/21/2022,472.00,11-17-2022 08:17:00,243,0,11-21-2022 11:45:00,264,0
2022-06-27 09:34:00,LAX-ORD-11/24/2022-11/28/2022,LAX,ORD,11/24/2022,11/28/2022,511.00,11-24-2022 08:17:00,243,0,11-28-2022 13:15:00,273,0
