trip_id,timestamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops
0,2022-06-23 04:25:14,SNA-PHX-06/23/2022-06/27/2022,SNA,PHX,06/23/2022,06/27/2022,353.00,06-23-2022 12:56:00,78,0,06-27-2022 10:13:00,88,0
1,2022-06-23 04:26:03,SNA-PHX-06/30/2022-07/04/2022,SNA,PHX,06/30/2022,07/04/2022,269.00,06-30-2022 12:56:00,78,0,07-04-2022 10:18:00,88,0
2,2022-06-23 04:26:58,SNA-ORD-06/23/2022-06/27/2022,SNA,ORD,06/23/2022,06/27/2022,2939.00,06-23-2022 16:44:00,636,1,06-27-2022 09:55:00,251,0
3,2022-06-23 04:27:51,SNA-ORD-06/30/2022-07/04/2022,SNA,ORD,06/30/2022,07/04/2022,582.00,06-30-2022 16:44:00,330,1,07-04-2022 11:52:00,486,1
4,2022-06-23 04:28:48,LAX-PHX-06/23/2022-06/27/2022,LAX,PHX,06/23/2022,06/27/2022,273.00,06-23-2022 16:14:00,90,0,06-27-2022 16:40:00,83,0
5,2022-06-23 04:29:42,LAX-PHX-06/30/2022-07/04/2022,LAX,PHX,06/30/2022,07/04/2022,223.00,06-30-2022 12:21:00,90,0,07-04-2022 11:00:00,84,0
6,2022-06-23 04:30:36,LAX-ORD-06/23/2022-06/27/2022,LAX,ORD,06/23/2022,06/27/2022,714.00,06-23-2022 10:55:00,404,1,06-27-2022 13:19:00,253,0
7,2022-06-23 04:31:29,LAX-ORD-06/30/2022-07/04/2022,LAX,ORD,06/30/2022,07/04/2022,579.00,06-30-2022 08:05:00,242,0,07-04-2022 15:20:00,252,0
