timestamp(date),trip_id(Varchar2(60)),depart_airport(Varchar2(4)),return_airport(Varchar2(4)),depart_date(date),return_date(date),total_cost(Integer),depart_datetime(date),depart_duration(Integer),depart_stops(Integer),return_datetime(date),return_duration(integer),return_stops(integer)
6/26/2022 8:55,LAX-ORD-08/25/2022-08/29/2022,LAX,ORD,8/25/2022,8/29/2022,474,8/25/2022 13:28,250,0,8/29/2022 19:34,261,0
6/26/2022 8:56,LAX-ORD-09/01/2022-09/05/2022,LAX,ORD,9/1/2022,9/5/2022,532,9/1/2022 16:43,244,0,9/5/2022 7:15,267,0
6/26/2022 8:57,LAX-ORD-09/08/2022-09/12/2022,LAX,ORD,9/8/2022,9/12/2022,442,9/8/2022 13:33,252,0,9/12/2022 20:31,264,0
6/26/2022 8:58,LAX-ORD-09/15/2022-09/19/2022,LAX,ORD,9/15/2022,9/19/2022,472,9/15/2022 7:15,249,0,9/19/2022 13:20,264,0
6/26/2022 8:59,LAX-ORD-09/22/2022-09/26/2022,LAX,ORD,9/22/2022,9/26/2022,442,9/22/2022 13:33,252,0,9/26/2022 20:31,264,0
6/26/2022 9:00,LAX-ORD-09/29/2022-10/03/2022,LAX,ORD,9/29/2022,10/3/2022,412,9/29/2022 8:06,242,0,10/3/2022 20:31,264,0
6/26/2022 9:01,LAX-ORD-10/06/2022-10/10/2022,LAX,ORD,10/6/2022,10/10/2022,525,10/6/2022 13:25,250,0,10/10/2022 20:55,261,0
6/26/2022 9:02,LAX-ORD-10/13/2022-10/17/2022,LAX,ORD,10/13/2022,10/17/2022,472,10/13/2022 13:25,250,0,10/17/2022 7:15,260,0
6/26/2022 9:03,LAX-ORD-10/20/2022-10/24/2022,LAX,ORD,10/20/2022,10/24/2022,412,10/20/2022 8:00,243,0,10/24/2022 20:55,261,0
6/26/2022 9:04,LAX-ORD-10/27/2022-10/31/2022,LAX,ORD,10/27/2022,10/31/2022,401,10/27/2022 8:00,243,0,10/31/2022 20:15,271,0
6/26/2022 9:05,LAX-ORD-11/03/2022-11/07/2022,LAX,ORD,11/3/2022,11/7/2022,472,11/3/2022 11:40,245,0,11/7/2022 11:45,264,0
6/26/2022 9:06,LAX-ORD-11/10/2022-11/14/2022,LAX,ORD,11/10/2022,11/14/2022,451,11/10/2022 8:10,350,1,11/14/2022 11:45,264,0
6/26/2022 9:07,LAX-ORD-11/17/2022-11/21/2022,LAX,ORD,11/17/2022,11/21/2022,472,11/17/2022 8:17,243,0,11/21/2022 11:45,264,0
6/26/2022 9:08,LAX-ORD-11/24/2022-11/28/2022,LAX,ORD,11/24/2022,11/28/2022,511,11/24/2022 8:17,243,0,11/28/2022 13:15,273,0
6/26/2022 9:09,LAX-ORD-12/01/2022-12/05/2022,LAX,ORD,12/1/2022,12/5/2022,451,12/1/2022 8:10,350,1,12/5/2022 11:45,264,0
6/26/2022 9:10,LAX-ORD-12/08/2022-12/12/2022,LAX,ORD,12/8/2022,12/12/2022,451,12/8/2022 8:10,350,1,12/12/2022 11:45,264,0
6/26/2022 9:10,LAX-ORD-12/15/2022-12/19/2022,LAX,ORD,12/15/2022,12/19/2022,471,12/15/2022 8:17,243,0,12/19/2022 16:35,345,1
6/26/2022 9:11,LAX-ORD-12/22/2022-12/26/2022,LAX,ORD,12/22/2022,12/26/2022,621,12/22/2022 18:05,234,0,12/26/2022 8:20,425,1
6/26/2022 9:12,LAX-ORD-12/29/2022-01/02/2023,LAX,ORD,12/29/2022,1/2/2023,582,12/29/2022 15:25,240,0,1/2/2023 18:20,269,0
6/26/2022 9:14,SFO-IAD-06/30/2022-07/04/2022,SFO,IAD,6/30/2022,7/4/2022,971,6/30/2022 7:05,310,0,7/4/2022 7:00,553,1
6/26/2022 9:14,SFO-IAD-07/07/2022-07/11/2022,SFO,IAD,7/7/2022,7/11/2022,918,7/7/2022 13:29,471,1,7/11/2022 16:10,355,0
