timestamp,trip_id,depart_airport,return_airport,flight_code,depart_date,return_date,total_cost,depart_datetime,flight_time,depart_duration,depart_stops,return_datetime,return_duration,return_stops
6/26/22 8:52,LAX-ORD-08/04/2022-08/08/2022,LAX,ORD,LAX to ORD,8/4/22,8/8/22,686,8/4/22 16:35,4:35 PM,248,0,8/8/22 7:19,262,0
6/26/22 8:53,LAX-ORD-08/11/2022-08/15/2022,LAX,ORD,LAX to ORD,8/11/22,8/15/22,524,8/11/22 17:50,5:50 PM,248,0,8/15/22 6:54,441,1
6/26/22 8:54,LAX-ORD-08/18/2022-08/22/2022,LAX,ORD,LAX to ORD,8/18/22,8/22/22,515,8/18/22 17:50,5:50 PM,242,0,8/22/22 17:05,250,0
6/26/22 8:55,LAX-ORD-08/25/2022-08/29/2022,LAX,ORD,LAX to ORD,8/25/22,8/29/22,474,8/25/22 13:28,1:28 PM,250,0,8/29/22 19:34,261,0
6/26/22 8:56,LAX-ORD-09/01/2022-09/05/2022,LAX,ORD,LAX to ORD,9/1/22,9/5/22,532,9/1/22 16:43,4:43 PM,244,0,9/5/22 7:15,267,0
6/26/22 8:57,LAX-ORD-09/08/2022-09/12/2022,LAX,ORD,LAX to ORD,9/8/22,9/12/22,442,9/8/22 13:33,1:33 PM,252,0,9/12/22 20:31,264,0
6/26/22 8:58,LAX-ORD-09/15/2022-09/19/2022,LAX,ORD,LAX to ORD,9/15/22,9/19/22,472,9/15/22 7:15,7:15 AM,249,0,9/19/22 13:20,264,0
6/26/22 8:59,LAX-ORD-09/22/2022-09/26/2022,LAX,ORD,LAX to ORD,9/22/22,9/26/22,442,9/22/22 13:33,1:33 PM,252,0,9/26/22 20:31,264,0
6/26/22 9:00,LAX-ORD-09/29/2022-10/03/2022,LAX,ORD,LAX to ORD,9/29/22,10/3/22,412,9/29/22 8:06,8:06 AM,242,0,10/3/22 20:31,264,0
6/26/22 9:01,LAX-ORD-10/06/2022-10/10/2022,LAX,ORD,LAX to ORD,10/6/22,10/10/22,525,10/6/22 13:25,1:25 PM,250,0,10/10/22 20:55,261,0
6/26/22 9:02,LAX-ORD-10/13/2022-10/17/2022,LAX,ORD,LAX to ORD,10/13/22,10/17/22,472,10/13/22 13:25,1:25 PM,250,0,10/17/22 7:15,260,0
