time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops,days_before_purchase
2022-07-10 18:37:20,SJC-MSY-2022-07-14-2022-07-18,SJC,MSY,07/14/2022,07/18/2022,862,2022-07-14 06:10:00,414,1,2022-07-18 15:55:00,385,1,3
2022-07-10 18:38:18,SJC-MSY-2022-07-21-2022-07-25,SJC,MSY,07/21/2022,07/25/2022,962,2022-07-21 06:10:00,537,1,2022-07-25 06:00:00,710,2,10
2022-07-10 18:39:18,SJC-MSY-2022-07-28-2022-08-01,SJC,MSY,07/28/2022,08/01/2022,930,2022-07-28 13:55:00,431,1,2022-08-01 06:00:00,710,2,17
2022-07-10 18:40:23,SJC-MSY-2022-08-04-2022-08-08,SJC,MSY,08/04/2022,08/08/2022,987,2022-08-04 12:37:00,484,2,2022-08-08 06:00:00,420,1,24
2022-07-10 18:41:27,SJC-MSY-2022-08-11-2022-08-15,SJC,MSY,08/11/2022,08/15/2022,888,2022-08-11 06:10:00,652,1,2022-08-15 10:45:00,695,1,31
2022-07-10 18:42:31,SJC-MSY-2022-08-18-2022-08-22,SJC,MSY,08/18/2022,08/22/2022,716,2022-08-18 11:45:00,441,1,2022-08-22 07:00:00,509,1,38
