time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops
2022-07-06 10:38:05,LAX-ORD-09/29/2022-10/03/2022,LAX,ORD,09/29/2022,10/03/2022,472.00,09-29-2022 13:33:00,252,0,10-03-2022 13:20:00,264,0
2022-07-06 10:39:06,LAX-ORD-10/06/2022-10/10/2022,LAX,ORD,10/06/2022,10/10/2022,491.00,10-06-2022 16:20:00,345,1,10-10-2022 20:55:00,261,0
2022-07-06 10:40:04,LAX-ORD-10/13/2022-10/17/2022,LAX,ORD,10/13/2022,10/17/2022,451.00,10-13-2022 08:00:00,376,1,10-17-2022 13:30:00,268,0
2022-07-06 10:41:04,LAX-ORD-10/20/2022-10/24/2022,LAX,ORD,10/20/2022,10/24/2022,442.00,10-20-2022 08:00:00,243,0,10-24-2022 13:30:00,268,0
2022-07-06 10:42:03,LAX-ORD-10/27/2022-10/31/2022,LAX,ORD,10/27/2022,10/31/2022,401.00,10-27-2022 08:00:00,243,0,10-31-2022 22:00:00,271,0
2022-07-06 10:43:04,LAX-ORD-11/03/2022-11/07/2022,LAX,ORD,11/03/2022,11/07/2022,472.00,11-03-2022 11:40:00,245,0,11-07-2022 11:45:00,264,0
2022-07-06 10:44:04,LAX-ORD-11/10/2022-11/14/2022,LAX,ORD,11/10/2022,11/14/2022,451.00,11-10-2022 08:10:00,350,1,11-14-2022 11:45:00,264,0
2022-07-06 10:45:04,LAX-ORD-11/17/2022-11/21/2022,LAX,ORD,11/17/2022,11/21/2022,472.00,11-17-2022 08:17:00,243,0,11-21-2022 11:45:00,264,0
2022-07-06 10:46:06,LAX-ORD-11/24/2022-11/28/2022,LAX,ORD,11/24/2022,11/28/2022,511.00,11-24-2022 08:17:00,243,0,11-28-2022 06:55:00,268,0
2022-07-06 10:47:07,LAX-ORD-12/01/2022-12/05/2022,LAX,ORD,12/01/2022,12/05/2022,451.00,12-01-2022 08:10:00,350,1,12-05-2022 11:45:00,264,0
2022-07-06 10:48:10,LAX-ORD-12/08/2022-12/12/2022,LAX,ORD,12/08/2022,12/12/2022,451.00,12-08-2022 08:10:00,350,1,12-12-2022 11:45:00,264,0
2022-07-06 10:49:12,LAX-ORD-12/15/2022-12/19/2022,LAX,ORD,12/15/2022,12/19/2022,471.00,12-15-2022 08:17:00,243,0,12-19-2022 16:35:00,430,1
2022-07-06 10:50:14,LAX-ORD-12/22/2022-12/26/2022,LAX,ORD,12/22/2022,12/26/2022,621.00,12-22-2022 18:05:00,234,0,12-26-2022 08:20:00,425,1
2022-07-06 10:51:17,LAX-ORD-12/29/2022-01/02/2023,LAX,ORD,12/29/2022,01/02/2023,591.00,12-29-2022 15:25:00,240,0,01-02-2023 09:50:00,410,1
2022-07-06 10:52:18,LAX-ORD-01/05/2023-01/09/2023,LAX,ORD,01/05/2023,01/09/2023,471.00,01-05-2023 11:40:00,245,0,01-09-2023 22:00:00,271,0
2022-07-06 10:53:28,SFO-IAD-07/07/2022-07/11/2022,SFO,IAD,07/07/2022,07/11/2022,800.00,07-07-2022 13:29:00,471,1,07-11-2022 17:30:00,483,1
2022-07-06 10:54:24,SFO-IAD-07/14/2022-07/18/2022,SFO,IAD,07/14/2022,07/18/2022,979.00,07-14-2022 05:35:00,495,1,07-18-2022 17:30:00,483,1
2022-07-06 10:55:25,SFO-IAD-07/21/2022-07/25/2022,SFO,IAD,07/21/2022,07/25/2022,908.00,07-21-2022 07:00:00,310,0,07-25-2022 16:10:00,355,0
2022-07-06 10:56:18,SFO-IAD-07/28/2022-08/01/2022,SFO,IAD,07/28/2022,08/01/2022,838.00,07-28-2022 07:00:00,310,0,08-01-2022 16:10:00,355,0
2022-07-06 10:57:11,SFO-IAD-08/04/2022-08/08/2022,SFO,IAD,08/04/2022,08/08/2022,838.00,08-04-2022 07:00:00,310,0,08-08-2022 16:10:00,355,0
2022-07-06 10:58:07,SFO-IAD-08/11/2022-08/15/2022,SFO,IAD,08/11/2022,08/15/2022,896.00,08-11-2022 13:29:00,471,1,08-15-2022 16:10:00,355,0
2022-07-06 10:59:06,SFO-IAD-08/18/2022-08/22/2022,SFO,IAD,08/18/2022,08/22/2022,879.00,08-18-2022 23:48:00,582,1,08-22-2022 17:30:00,497,1
2022-07-06 11:00:02,SFO-IAD-08/25/2022-08/29/2022,SFO,IAD,08/25/2022,08/29/2022,615.00,08-25-2022 07:00:00,310,0,08-29-2022 17:30:00,497,1
2022-07-06 11:00:57,SFO-IAD-09/01/2022-09/05/2022,SFO,IAD,09/01/2022,09/05/2022,788.00,09-01-2022 07:00:00,310,0,09-05-2022 16:10:00,355,0
2022-07-06 11:01:52,SFO-IAD-09/08/2022-09/12/2022,SFO,IAD,09/08/2022,09/12/2022,433.00,09-08-2022 13:41:00,431,1,09-12-2022 11:20:00,515,1
2022-07-06 11:02:48,SFO-IAD-09/15/2022-09/19/2022,SFO,IAD,09/15/2022,09/19/2022,465.00,09-15-2022 07:00:00,300,0,09-19-2022 13:35:00,523,1
2022-07-06 11:03:43,SFO-IAD-09/22/2022-09/26/2022,SFO,IAD,09/22/2022,09/26/2022,513.00,09-22-2022 13:41:00,431,1,09-26-2022 13:35:00,623,1
