time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops,days_before_purchase
2022-07-09 12:30:49,BOS-SNA-07/15/2022-07/24/2022,BOS,SNA,07/15/2022,07/24/2022,803,2022-07-15 06:44:00,482,1,2022-07-24 08:59:00,528,1,5
2022-07-09 12:31:51,BOS-SNA-07/22/2022-07/31/2022,BOS,SNA,07/22/2022,07/31/2022,758,2022-07-22 05:30:00,486,1,2022-07-31 08:59:00,714,1,12
2022-07-09 12:32:52,BOS-SNA-07/29/2022-08/07/2022,BOS,SNA,07/29/2022,08/07/2022,757,2022-07-29 06:44:00,695,1,2022-08-07 16:44:00,610,1,19
2022-07-09 12:33:52,BOS-SNA-08/05/2022-08/14/2022,BOS,SNA,08/05/2022,08/14/2022,833,2022-08-05 09:47:00,512,1,2022-08-14 13:06:00,828,1,26
2022-07-09 12:34:59,BOS-SNA-08/12/2022-08/21/2022,BOS,SNA,08/12/2022,08/21/2022,838,2022-08-12 06:15:00,483,1,2022-08-21 16:44:00,603,1,33
2022-07-09 12:36:02,BOS-SNA-08/19/2022-08/28/2022,BOS,SNA,08/19/2022,08/28/2022,709,2022-08-19 06:40:00,492,1,2022-08-28 16:44:00,603,1,40
2022-07-09 12:37:02,BOS-SNA-08/26/2022-09/04/2022,BOS,SNA,08/26/2022,09/04/2022,518,2022-08-26 05:30:00,494,1,2022-09-04 12:42:00,485,1,47
2022-07-09 12:38:55,BOS-SNA-09/09/2022-09/18/2022,BOS,SNA,09/09/2022,09/18/2022,625,2022-09-09 05:30:00,496,1,2022-09-18 12:19:00,838,1,61
2022-07-09 12:39:57,BOS-SNA-09/16/2022-09/25/2022,BOS,SNA,09/16/2022,09/25/2022,569,2022-09-16 05:30:00,496,1,2022-09-25 16:44:00,573,1,68
2022-07-09 12:41:01,BOS-SNA-09/23/2022-10/02/2022,BOS,SNA,09/23/2022,10/02/2022,687,2022-09-23 05:30:00,496,1,2022-10-02 09:15:00,506,1,75
2022-07-09 12:42:02,BOS-SNA-09/30/2022-10/09/2022,BOS,SNA,09/30/2022,10/09/2022,687,2022-09-30 05:30:00,496,1,2022-10-09 08:15:00,585,1,82
2022-07-09 12:43:04,BOS-SNA-10/07/2022-10/16/2022,BOS,SNA,10/07/2022,10/16/2022,749,2022-10-07 07:10:00,525,1,2022-10-16 08:15:00,585,1,89
2022-07-09 12:44:03,BOS-SNA-10/14/2022-10/23/2022,BOS,SNA,10/14/2022,10/23/2022,631,2022-10-14 05:30:00,501,1,2022-10-23 07:45:00,615,1,96
2022-07-09 12:45:04,BOS-SNA-10/21/2022-10/30/2022,BOS,SNA,10/21/2022,10/30/2022,611,2022-10-21 05:30:00,501,1,2022-10-30 19:40:00,436,1,103
2022-07-09 12:46:03,BOS-SNA-10/28/2022-11/06/2022,BOS,SNA,10/28/2022,11/06/2022,611,2022-10-28 05:30:00,501,1,2022-11-06 19:40:00,436,1,110
2022-07-09 12:47:06,BOS-SNA-11/04/2022-11/13/2022,BOS,SNA,11/04/2022,11/13/2022,611,2022-11-04 05:52:00,526,1,2022-11-13 19:40:00,436,1,117
2022-07-09 12:48:07,BOS-SNA-11/11/2022-11/20/2022,BOS,SNA,11/11/2022,11/20/2022,696,2022-11-11 05:46:00,475,1,2022-11-20 19:40:00,436,1,124
2022-07-09 12:49:12,BOS-SNA-11/18/2022-11/27/2022,BOS,SNA,11/18/2022,11/27/2022,969,2022-11-18 05:46:00,475,1,2022-11-27 19:40:00,436,1,131
2022-07-09 12:50:15,BOS-SNA-11/25/2022-12/04/2022,BOS,SNA,11/25/2022,12/04/2022,578,2022-11-25 10:00:00,469,1,2022-12-04 08:11:00,413,1,138
2022-07-09 12:51:16,BOS-SNA-12/02/2022-12/11/2022,BOS,SNA,12/02/2022,12/11/2022,558,2022-12-02 05:46:00,475,1,2022-12-11 12:54:00,411,1,145
2022-07-09 12:52:15,BOS-SNA-12/09/2022-12/18/2022,BOS,SNA,12/09/2022,12/18/2022,558,2022-12-09 05:46:00,475,1,2022-12-18 08:11:00,413,1,152
2022-07-09 12:53:14,BOS-SNA-12/16/2022-12/25/2022,BOS,SNA,12/16/2022,12/25/2022,531,2022-12-16 10:00:00,469,1,2022-12-25 12:54:00,411,1,159
2022-07-09 12:54:11,BOS-SNA-12/23/2022-01/01/2023,BOS,SNA,12/23/2022,01/01/2023,849,2022-12-23 05:00:00,530,1,2023-01-01 06:50:00,427,1,166
2022-07-09 12:55:12,BOS-SNA-12/30/2022-01/08/2023,BOS,SNA,12/30/2022,01/08/2023,704,2022-12-30 14:12:00,546,1,2023-01-08 11:46:00,523,1,173
2022-07-09 12:56:14,BOS-SNA-01/06/2023-01/15/2023,BOS,SNA,01/06/2023,01/15/2023,454,2023-01-06 06:00:00,489,1,2023-01-15 12:54:00,411,1,180
2022-07-09 12:57:13,BOS-SNA-01/13/2023-01/22/2023,BOS,SNA,01/13/2023,01/22/2023,578,2023-01-13 05:46:00,475,1,2023-01-22 08:11:00,413,1,187
