trip_id,timestamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops
0,2022-06-23 04:09:09,SNA-PHX-06/23/2022-06/26/2022,SNA,PHX,06/23/2022,06/26/2022,353.00,06-23-2022 12:56:00,78,0,06-26-2022 10:13:00,88,0
1,2022-06-23 04:09:57,SNA-PHX-06/30/2022-07/03/2022,SNA,PHX,06/30/2022,07/03/2022,299.00,06-30-2022 12:56:00,78,0,07-03-2022 14:59:00,78,0
2,2022-06-23 04:10:52,SNA-ORD-06/23/2022-06/26/2022,SNA,ORD,06/23/2022,06/26/2022,2939.00,06-23-2022 16:44:00,636,1,06-26-2022 08:25:00,251,0
3,2022-06-23 04:11:45,SNA-ORD-06/30/2022-07/03/2022,SNA,ORD,06/30/2022,07/03/2022,582.00,06-30-2022 16:44:00,330,1,07-03-2022 10:27:00,441,1
4,2022-06-23 04:12:42,LAX-PHX-06/23/2022-06/26/2022,LAX,PHX,06/23/2022,06/26/2022,293.00,06-23-2022 16:14:00,90,0,06-26-2022 11:00:00,84,0
