time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops
2022-07-06 08:38:52,SNA-PHX-09/22/2022-09/26/2022,SNA,PHX,09/22/2022,09/26/2022,238.00,09-22-2022 12:19:00,87,0,09-26-2022 20:15:00,77,0
2022-07-06 08:39:46,SNA-PHX-09/29/2022-10/03/2022,SNA,PHX,09/29/2022,10/03/2022,248.00,09-29-2022 12:19:00,87,0,10-03-2022 16:45:00,78,0
2022-07-06 08:40:40,SNA-PHX-10/06/2022-10/10/2022,SNA,PHX,10/06/2022,10/10/2022,318.00,10-06-2022 12:29:00,82,0,10-10-2022 10:16:00,83,0
2022-07-06 08:41:34,SNA-PHX-10/13/2022-10/17/2022,SNA,PHX,10/13/2022,10/17/2022,289.00,10-13-2022 12:29:00,82,0,10-17-2022 16:45:00,81,0
2022-07-06 08:42:26,SNA-PHX-10/20/2022-10/24/2022,SNA,PHX,10/20/2022,10/24/2022,278.00,10-20-2022 12:29:00,82,0,10-24-2022 16:45:00,81,0
2022-07-06 08:43:20,SNA-PHX-10/27/2022-10/31/2022,SNA,PHX,10/27/2022,10/31/2022,248.00,10-27-2022 12:29:00,82,0,10-31-2022 20:05:00,82,0
2022-07-06 08:44:16,SNA-PHX-11/03/2022-11/07/2022,SNA,PHX,11/03/2022,11/07/2022,278.00,11-03-2022 12:54:00,81,0,11-07-2022 08:20:00,83,0
2022-07-06 08:45:10,SNA-PHX-11/10/2022-11/14/2022,SNA,PHX,11/10/2022,11/14/2022,278.00,11-10-2022 12:54:00,81,0,11-14-2022 10:50:00,79,0
2022-07-06 08:46:03,SNA-PHX-11/17/2022-11/21/2022,SNA,PHX,11/17/2022,11/21/2022,448.00,11-17-2022 12:54:00,81,0,11-21-2022 10:50:00,79,0
2022-07-06 08:46:55,SNA-PHX-11/24/2022-11/28/2022,SNA,PHX,11/24/2022,11/28/2022,390.00,11-24-2022 12:54:00,81,0,11-28-2022 10:50:00,79,0
2022-07-06 08:47:48,SNA-PHX-12/01/2022-12/05/2022,SNA,PHX,12/01/2022,12/05/2022,248.00,12-01-2022 12:54:00,81,0,12-05-2022 14:30:00,79,0
2022-07-06 08:48:44,SNA-PHX-12/08/2022-12/12/2022,SNA,PHX,12/08/2022,12/12/2022,248.00,12-08-2022 09:55:00,79,0,12-12-2022 14:30:00,79,0
2022-07-06 08:49:36,SNA-PHX-12/15/2022-12/19/2022,SNA,PHX,12/15/2022,12/19/2022,417.00,12-15-2022 12:54:00,81,0,12-19-2022 08:20:00,83,0
2022-07-06 08:50:28,SNA-PHX-12/22/2022-12/26/2022,SNA,PHX,12/22/2022,12/26/2022,480.00,12-22-2022 12:54:00,81,0,12-26-2022 10:50:00,79,0
2022-07-06 08:51:22,SNA-PHX-12/29/2022-01/02/2023,SNA,PHX,12/29/2022,01/02/2023,450.00,12-29-2022 12:54:00,81,0,01-02-2023 10:50:00,79,0
2022-07-06 08:52:16,SNA-PHX-01/05/2023-01/09/2023,SNA,PHX,01/05/2023,01/09/2023,279.00,01-05-2023 12:54:00,81,0,01-09-2023 08:20:00,83,0
