time_stamp,trip_id,depart_airport,return_airport,depart_date,return_date,total_cost,depart_datetime,depart_duration,depart_stops,return_datetime,return_duration,return_stops,days_before_purchase
2022-07-10 13:02:43,SFO-IAD-07/14/2022-07/18/2022,SFO,IAD,07/14/2022,07/18/2022,920,2022-07-14 05:35:00,495,1,2022-07-18 17:30:00,483,1,3
2022-07-10 13:03:41,SFO-IAD-07/21/2022-07/25/2022,SFO,IAD,07/21/2022,07/25/2022,968,2022-07-21 13:29:00,471,1,2022-07-25 16:10:00,355,0,10
2022-07-10 13:04:37,SFO-IAD-07/28/2022-08/01/2022,SFO,IAD,07/28/2022,08/01/2022,908,2022-07-28 07:00:00,310,0,2022-08-01 16:10:00,355,0,17
2022-07-10 13:05:31,SFO-IAD-08/04/2022-08/08/2022,SFO,IAD,08/04/2022,08/08/2022,838,2022-08-04 07:00:00,310,0,2022-08-08 16:10:00,355,0,24
2022-07-10 13:06:23,SFO-IAD-08/11/2022-08/15/2022,SFO,IAD,08/11/2022,08/15/2022,718,2022-08-11 07:00:00,310,0,2022-08-15 16:10:00,355,0,31
2022-07-10 13:07:17,SFO-IAD-08/18/2022-08/22/2022,SFO,IAD,08/18/2022,08/22/2022,597,2022-08-18 07:00:00,310,0,2022-08-22 17:30:00,497,1,38
2022-07-10 13:08:08,SFO-IAD-08/25/2022-08/29/2022,SFO,IAD,08/25/2022,08/29/2022,608,2022-08-25 07:00:00,310,0,2022-08-29 16:10:00,355,0,45
2022-07-10 13:09:01,SFO-IAD-09/01/2022-09/05/2022,SFO,IAD,09/01/2022,09/05/2022,760,2022-09-01 07:00:00,310,0,2022-09-05 06:00:00,588,1,52
2022-07-10 13:09:52,SFO-IAD-09/08/2022-09/12/2022,SFO,IAD,09/08/2022,09/12/2022,433,2022-09-08 13:41:00,431,1,2022-09-12 13:35:00,625,1,59
2022-07-10 13:10:49,SFO-IAD-09/15/2022-09/19/2022,SFO,IAD,09/15/2022,09/19/2022,505,2022-09-15 07:00:00,300,0,2022-09-19 13:35:00,528,1,66
2022-07-10 13:11:41,SFO-IAD-09/22/2022-09/26/2022,SFO,IAD,09/22/2022,09/26/2022,545,2022-09-22 05:20:00,510,1,2022-09-26 16:00:00,349,0,73
2022-07-10 13:12:39,SFO-IAD-09/29/2022-10/03/2022,SFO,IAD,09/29/2022,10/03/2022,465,2022-09-29 23:55:00,451,1,2022-10-03 16:00:00,349,0,80
2022-07-10 13:13:37,SFO-IAD-10/06/2022-10/10/2022,SFO,IAD,10/06/2022,10/10/2022,605,2022-10-06 23:40:00,459,1,2022-10-10 17:15:00,505,1,87
2022-07-10 13:14:34,SFO-IAD-10/13/2022-10/17/2022,SFO,IAD,10/13/2022,10/17/2022,498,2022-10-13 07:00:00,300,0,2022-10-17 16:05:00,360,0,94
2022-07-10 13:15:27,SFO-IAD-10/20/2022-10/24/2022,SFO,IAD,10/20/2022,10/24/2022,517,2022-10-20 23:40:00,459,1,2022-10-24 16:05:00,360,0,101
2022-07-10 13:16:25,SFO-IAD-10/27/2022-10/31/2022,SFO,IAD,10/27/2022,10/31/2022,498,2022-10-27 07:00:00,300,0,2022-10-31 16:05:00,360,0,108
2022-07-10 13:17:18,SFO-IAD-11/03/2022-11/07/2022,SFO,IAD,11/03/2022,11/07/2022,498,2022-11-03 07:00:00,300,0,2022-11-07 16:05:00,360,0,115
2022-07-10 13:19:06,SFO-IAD-11/17/2022-11/21/2022,SFO,IAD,11/17/2022,11/21/2022,547,2022-11-17 11:30:00,543,1,2022-11-21 16:05:00,368,0,129
2022-07-10 13:20:05,SFO-IAD-11/24/2022-11/28/2022,SFO,IAD,11/24/2022,11/28/2022,667,2022-11-24 08:14:00,418,1,2022-11-28 16:05:00,368,0,136
2022-07-10 13:20:59,SFO-IAD-12/01/2022-12/05/2022,SFO,IAD,12/01/2022,12/05/2022,498,2022-12-01 07:00:00,301,0,2022-12-05 16:05:00,368,0,143
2022-07-10 13:21:53,SFO-IAD-12/08/2022-12/12/2022,SFO,IAD,12/08/2022,12/12/2022,467,2022-12-08 07:00:00,301,0,2022-12-12 19:06:00,495,1,150
2022-07-10 13:22:46,SFO-IAD-12/15/2022-12/19/2022,SFO,IAD,12/15/2022,12/19/2022,675,2022-12-15 11:30:00,543,1,2022-12-19 16:05:00,368,0,157
2022-07-10 13:23:45,SFO-IAD-12/22/2022-12/26/2022,SFO,IAD,12/22/2022,12/26/2022,836,2022-12-22 23:55:00,459,1,2022-12-26 16:05:00,368,0,164
2022-07-10 13:24:39,SFO-IAD-12/29/2022-01/02/2023,SFO,IAD,12/29/2022,01/02/2023,718,2022-12-29 07:00:00,301,0,2023-01-02 16:05:00,368,0,171
2022-07-10 13:25:34,SFO-IAD-01/05/2023-01/09/2023,SFO,IAD,01/05/2023,01/09/2023,465,2023-01-05 11:30:00,543,1,2023-01-09 16:05:00,368,0,178
2022-07-10 13:26:34,SFO-IAD-01/12/2023-01/16/2023,SFO,IAD,01/12/2023,01/16/2023,528,2023-01-12 07:00:00,301,0,2023-01-16 16:05:00,368,0,185
